step,loss,train_reward,mean_topk_divergence,mask_fraction,kl_mean,entropy_mean,ratio_max,response_length,gpu_hours,cpu_load_1m,cpu_rss_gb,gpu_memory_allocated_gb,gpu_memory_reserved_gb,gpu_memory_peak_gb
30,-7.60337570682168e-10,0.025000000372529,0.0,0.0,0.0,7.007323265075684,1.0,256.0,0.0385675350824991,0.91748046875,0.0018723048269748,7.405771732330322,25.771484375,11.160723209381104
31,-8.876668289303781e-10,0.025000000372529,0.0,0.0,0.0,6.964574337005615,1.0,256.0,0.0398262997468312,0.92431640625,0.0018723048269748,7.170307159423828,25.771484375,11.160723209381104
32,-9.276845958083867e-10,0.025000000372529,0.0,0.0,0.0,6.897439002990723,1.0,256.0,0.0410861276917987,0.9306640625,0.0018724240362644,5.853634357452393,25.771484375,11.160723209381104
33,1.862645149230957e-09,0.0750000029802322,0.0,0.0,0.0,6.984093189239502,1.0,256.0,0.0423532604508929,0.9306640625,0.0018724240362644,6.964019775390625,25.771484375,11.160723209381104
34,3.637978807091713e-12,0.050000000745058,0.0,0.0,0.0,6.900670051574707,1.0,256.0,0.0436856044663323,0.9365234375,0.0018724240362644,7.000244140625,25.771484375,11.160723209381104
35,1.862645149230957e-09,0.0750000029802322,0.0,0.0,0.0,6.902960777282715,1.0,256.0,0.0450142654445436,0.94189453125,0.0018724240362644,6.991188049316406,25.771484375,11.160723209381104
36,1.862645149230957e-09,0.0750000029802322,0.0,0.0,0.0,6.862627983093262,1.0,256.0,0.0462848436170154,0.94677734375,0.0018724240362644,6.487573146820068,25.771484375,11.200559139251707
37,-0.0,0.050000000745058,0.0,0.0,0.0,6.963667869567871,1.0,256.0,0.0475599363777372,0.951171875,0.0018724240362644,6.917952060699463,25.771484375,11.200559139251707
38,-0.0,0.1000000014901161,0.0,0.0,0.0,7.171649932861328,1.0,256.0,0.0488255360391404,0.95556640625,0.0018724240362644,6.763994693756104,25.771484375,11.200559139251707
39,2.443979064992164e-05,0.0750000029802322,0.0,0.0,0.0,7.052049160003662,1.0,255.75,0.05008713722229,0.95947265625,0.0018725432455539,6.809277057647705,25.771484375,11.200559139251707
40,-0.0,0.1000000014901161,0.0,0.0,0.0,6.803212642669678,1.0,256.0,0.0513501965337329,0.962890625,0.0018725432455539,6.288337230682373,25.771484375,11.200559139251707
41,-0.0,0.050000000745058,0.0,0.0,0.0,7.1864094734191895,1.0,256.0,0.0526242964797549,0.96630859375,0.0018725432455539,7.095615386962891,25.771484375,11.200559139251707
42,-0.0,0.050000000745058,0.0,0.0,0.0,6.926832675933838,1.0,256.0,0.0538883178101645,0.96923828125,0.0018725432455539,6.805814266204834,25.771484375,11.200559139251707
43,-6.330083124339581e-10,0.025000000372529,0.0,0.0,0.0,7.108909606933594,1.0,256.0,0.0551874496539433,0.97216796875,0.0018725432455539,6.968828201293945,25.771484375,11.200559139251707
44,-0.0,0.050000000745058,0.0,0.0,0.0,7.30399227142334,1.0,256.0,0.056443304684427,0.974609375,0.0018725432455539,5.971363544464111,25.771484375,11.200559139251707
45,1.862645149230957e-09,0.0750000029802322,0.0,0.0,0.0,7.154268264770508,1.0,256.0,0.0577932134601804,0.97705078125,0.0018725432455539,6.869561672210693,25.771484375,11.200559139251707
46,1.862645149230957e-09,0.0750000029802322,0.0,0.0,0.0,7.092068672180176,1.0,256.0,0.0591425238715277,0.97900390625,0.0018725432455539,7.059745788574219,25.771484375,11.200559139251707
47,1.862645149230957e-09,0.0750000029802322,0.0,0.0,0.0,6.923736572265625,1.0,256.0,0.0604917701085408,0.97900390625,0.0018725432455539,7.5216169357299805,25.771484375,11.396876335144045
48,-8.22183210402727e-10,0.025000000372529,0.0,0.0,0.0,6.993344783782959,1.0,256.0,0.0618694805436664,0.98095703125,0.0018725432455539,6.2068281173706055,25.771484375,11.396876335144045
49,1.8480932340025902e-09,0.0750000029802322,0.0,0.0,0.0,6.889826774597168,1.0,256.0,0.0632144867711597,0.98291015625,0.0018725432455539,6.785092830657959,25.771484375,11.396876335144045
50,-8.73114913702011e-10,0.025000000372529,0.0,0.0,0.0,6.936012268066406,1.0,256.0,0.0645539891057544,0.984375,0.0018725432455539,7.228851795196533,25.771484375,11.396876335144045
51,7.275957614183426e-12,0.050000000745058,0.0,0.0,0.0,6.901511192321777,1.0,256.0,0.0658810500966178,0.98583984375,0.0018725432455539,6.857541561126709,25.771484375,11.396876335144045
52,1.862645149230957e-09,0.0750000029802322,0.0,0.0,0.0,7.041543483734131,1.0,256.0,0.067221481402715,0.9873046875,0.0018725432455539,5.907970905303955,25.771484375,11.396876335144045
53,1.862645149230957e-09,0.0750000029802322,0.0,0.0,0.0,6.947584629058838,1.0,256.0,0.0686320465140872,0.98876953125,0.0018725432455539,7.288726329803467,25.771484375,11.396876335144045
54,-0.0,0.050000000745058,0.0,0.0,0.0,6.970438957214356,1.0,256.0,0.0701007884740829,0.98974609375,0.0018726624548435,7.451737880706787,28.572265625,11.396876335144045
55,-0.0,0.050000000745058,0.0,0.0,0.0,7.002820014953613,1.0,256.0,0.0713638350036409,0.99072265625,0.0018726624548435,6.92647647857666,28.572265625,11.396876335144045
56,-0.0,0.050000000745058,0.0,0.0,0.0,7.2107744216918945,1.0,256.0,0.0727010267310672,0.99169921875,0.0018726624548435,6.215884208679199,28.572265625,11.396876335144045
57,-0.0,0.050000000745058,0.0,0.0,0.0,7.078382015228272,1.0,256.0,0.0739799422687954,0.99267578125,0.0018726624548435,7.146960258483887,28.572265625,11.396876335144045
58,-5.529727786779404e-10,0.025000000372529,0.0,0.0,0.0,7.028900146484375,1.0,256.0,0.0752358965078989,0.99365234375,0.001872781664133,6.902439594268799,28.572265625,11.396876335144045
59,1.8335413187742235e-09,0.0750000029802322,0.0,0.0,0.0,6.982991695404053,1.0,256.0,0.0764871401256985,0.99462890625,0.001872781664133,6.893383502960205,28.572265625,11.396876335144045
60,-0.0,0.050000000745058,0.0,0.0,0.0,7.154713153839111,1.0,256.0,0.0777400341298845,0.9951171875,0.001872781664133,5.962307453155518,28.572265625,11.396876335144045
61,-3.637978807091713e-12,0.050000000745058,0.0,0.0,0.0,6.942018508911133,1.0,256.0,0.0790070686737696,0.99560546875,0.001872781664133,6.847695827484131,28.572265625,11.396876335144045
62,-0.0,0.1000000014901161,0.0,0.0,0.0,5.351223945617676,1.0,256.0,0.0802803611093097,0.99609375,0.001872781664133,6.95637321472168,28.572265625,11.396876335144045
