step,loss,train_reward,clip_fraction,kl_mean,entropy_mean,ratio_max,response_length,gpu_hours,cpu_load_1m,cpu_rss_gb,gpu_memory_allocated_gb,gpu_memory_reserved_gb,gpu_memory_peak_gb
73,-0.11652721464633942,0.10000000149011612,0.0,0.0,5.826360702514648,1.0,256.0,0.13922626276810965,1.0,0.0019468814134597778,4.520815372467041,34.673828125,10.716753005981445
74,-0.13994872570037842,0.02500000037252903,0.0,0.0,6.9974365234375,1.0,256.0,0.14117728922102185,1.0,0.0019468814134597778,4.50723123550415,34.673828125,10.716753005981445
75,-0.14161668717861176,0.02500000037252903,0.0,0.0,7.08083438873291,1.0,256.0,0.1431386946969562,1.0,0.0019468814134597778,4.498175144195557,34.673828125,10.716753005981445
76,-0.14056271314620972,0.02500000037252903,0.0,0.0,7.028135776519775,1.0,256.0,0.14514474014441173,1.0,0.0019470006227493286,3.5357871055603027,34.673828125,10.716753005981445
77,-0.14421346783638,0.05000000074505806,0.0,0.0,7.208230018615723,1.0,255.75,0.1471045943101247,1.0,0.0019470006227493286,4.481398105621338,34.673828125,10.716753005981445
78,-0.09945089370012283,0.05000000074505806,0.0,0.0,4.9725446701049805,1.0,256.0,0.1490500948826472,1.0,0.0019470006227493286,4.476868152618408,34.673828125,10.716753005981445
79,-0.14329902827739716,0.07500000298023224,0.0,0.0,7.164951801300049,1.0,256.0,0.1509775084257126,1.0,0.0019470006227493286,4.470076084136963,34.673828125,10.716753005981445
80,-0.1445924937725067,0.05000000074505806,0.0,0.0,7.2271809577941895,1.0,255.75,0.15288221173816258,1.0,0.0019470006227493286,3.5991859436035156,34.673828125,10.716753005981445
81,-0.14540839195251465,0.05000000074505806,0.0,0.0,7.270420074462891,1.0,256.0,0.15473054620954727,1.0,0.0019472390413284302,4.571819305419922,34.673828125,10.716753005981445
82,-0.1476672887802124,0.02500000037252903,0.0,0.0,7.382142543792725,1.0,255.75,0.15664690991242727,1.0,0.001947358250617981,4.553707122802734,34.673828125,10.716753005981445
83,-0.1411382257938385,0.10000000149011612,0.0,0.0,7.056911468505859,1.0,256.0,0.15854416794247098,1.0,0.001947358250617981,4.630690097808838,34.673828125,10.716753005981445
84,-0.1416085660457611,0.05000000074505806,0.0,0.0,7.080428600311279,1.0,256.0,0.16047676238748762,1.0,0.0019474774599075317,3.6467323303222656,34.673828125,10.716753005981445
85,-0.14626653492450714,0.02500000037252903,0.0,0.0,7.313326835632324,1.0,256.0,0.16237327920065986,1.0,0.0019474774599075317,4.608731746673584,34.673828125,10.716753005981445
86,-0.1414996087551117,0.02500000037252903,0.0,0.0,7.07498025894165,1.0,256.0,0.16421950380007425,1.0,0.0019475966691970825,4.610995769500732,34.673828125,10.716753005981445
87,-0.14329500496387482,0.07500000298023224,0.0,0.0,7.164750099182129,1.0,256.0,0.16610090103414324,1.0,0.0019475966691970825,4.6540141105651855,34.673828125,10.716753005981445
88,-0.1406555324792862,0.07500000298023224,0.0,0.0,7.032776832580566,1.0,256.0,0.16800662888420953,1.0,0.0019477158784866333,3.70786714553833,34.673828125,10.716753005981445
89,-0.1463513970375061,0.05000000074505806,0.0,0.0,7.317570209503174,1.0,256.0,0.16989308959907956,1.0,0.0019477158784866333,4.516061305999756,34.673828125,10.716753005981445
90,-0.1412222683429718,0.10000000149011612,0.0,0.0,7.061113357543945,1.0,256.0,0.17174995746877458,1.0,0.0019477158784866333,4.536441802978516,34.673828125,10.716753005981445
91,-0.1435166448354721,0.07500000298023224,0.0,0.0,7.177053928375244,1.0,255.75,0.17370811336570316,1.0,0.0019477158784866333,4.547761917114258,34.673828125,10.716753005981445
92,-0.14718934893608093,0.10000000149011612,0.0,0.0,7.359467506408691,1.0,256.0,0.17553130209445952,1.0,0.0019477158784866333,3.574277400970459,34.673828125,10.716753005981445
93,-0.1416955590248108,0.05000000074505806,0.0,0.0,7.08477783203125,1.0,256.0,0.17740510867701637,1.0,0.0019477158784866333,4.5139241218566895,34.673828125,10.716753005981445
94,-0.14328336715698242,0.07500000298023224,0.0,0.0,7.164168357849121,1.0,256.0,0.179263649781545,1.0,0.0019477158784866333,4.554680824279785,34.673828125,10.716753005981445
95,-0.14627249538898468,0.07500000298023224,0.0,0.0,7.313624858856201,1.0,256.0,0.18114037268691593,1.0,0.0019477158784866333,4.545624732971191,34.673828125,10.716753005981445
96,-0.1395556479692459,0.07500000298023224,0.0,0.0,6.977782249450684,1.0,256.0,0.18305672665437062,1.0,0.0019477158784866333,3.6127700805664062,34.673828125,10.716753005981445
97,-0.14117158949375153,0.05000000074505806,0.0,0.0,7.058579921722412,1.0,256.0,0.18490039666493735,1.0,0.001947835087776184,4.533597946166992,34.673828125,10.716753005981445
98,-0.1410951167345047,0.10000000149011612,0.0,0.0,7.054755687713623,1.0,256.0,0.1867885159783893,1.0,0.001947835087776184,4.55171012878418,34.673828125,10.716753005981445
99,-0.14321333169937134,0.02500000037252903,0.0,0.0,7.160666465759277,1.0,256.0,0.18866255700588228,1.0,0.001947835087776184,4.581144332885742,34.673828125,10.716753005981445
100,-0.14229391515254974,0.0,0.0,0.0,7.1146955490112305,1.0,256.0,0.1904698396391339,1.0,0.0019479542970657349,3.669376850128174,34.673828125,10.716753005981445
